Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
"Which feature most fundamentally distinguishes connective tissue from epithelium, muscle, and nerve in the assigned material?",Its cells are electrically excitable,Its cells form continuous sheets,Its extracellular matrix predominates,It lacks blood vessels,3,,Connective tissue is characterized by a predominance of extracellular matrix rather than cells. The matrix contains fibers plus ground substance and is central to the tissue's structural and metabolic roles.
The interstitial fluid of connective tissue primarily supports cells by serving as a medium for which process?,Keratin production,Generation of action potentials,Diffusion of nutrients and wastes,Contraction of actin filaments,3,,Interstitial fluid is the watery portion of connective tissue through which nutrients and metabolic wastes diffuse between cells and the blood supply.
Which combination correctly names the two broad extracellular matrix components emphasized in the textbook?,Fibers plus ground substance,Epithelium and basement membrane,Actin and myosin,Blood cells and lymph,1,,"The extracellular matrix consists of protein fibers, especially collagen and elastic components, together with hydrated ground substance."
All connective tissues in the assigned chapter are described as originating from which embryonic tissue?,Mesenchyme,Endodermal mucosa,Primitive epithelium,Neural crest only,1,,"All connective tissues originate from embryonic mesenchyme, which is derived mainly from mesoderm and contains undifferentiated cells in a loose ground substance."
Which description best fits embryonic mesenchyme?,Parallel collagen bundles with few cells,Large adipocytes with one lipid droplet,Dense elastic lamellae and smooth muscle,Undifferentiated cells with sparse collagen,4,,"Mesenchyme contains undifferentiated cells, abundant viscous ground substance, and relatively few collagen fibers, allowing cell migration and growth."
Which function of connective tissue is most directly represented by lipids stored in adipocytes?,Mucus secretion,Electrical conduction,Energy storage,Ciliary transport,3,,"The lecture lists storage as a connective-tissue function, with lipids in adipocytes serving as the body's major energy depot."
Which connective-tissue function is most directly tied to an immunoinflammatory response?,Defense,Storage,Conduction,Secretion,1,,Defense is one of the core connective-tissue functions and includes immunoinflammatory responses mediated by resident and recruited immune cells.
Which of the following is classified in the lecture as embryonic connective tissue?,Adipose tissue,Dense regular tissue,Reticular tissue,Mesenchyme,4,,The lecture places mesenchyme and mucous connective tissue under embryonic connective tissue.
Which connective tissue proper category contains areolar tissue?,Reticular tissue,Loose connective tissue,Dense regular connective tissue,Mucous connective tissue,2,,Loose connective tissue is also called areolar connective tissue.
Which pair belongs to the specialized connective-tissue branch shown on the lecture classification slide?,Mesenchyme and mucous,Reticular and adipose,Loose and dense,Regular and irregular,2,,The lecture classification places reticular and adipose tissue under specialized connective tissue.
Which cell type is listed as a fixed resident cell in the lecture's connective-tissue overview?,Neutrophil,Plasma cell,Lymphocyte,Fibroblast,4,,"Fibroblasts and adipose cells are shown as fixed resident cells, whereas macrophages and circulating leukocyte-related cells are grouped as free cells."
Which group consists entirely of cells listed as free cells in the lecture?,"Fibroblasts, macrophages, adipocytes, lymphocytes","Adipocytes, plasma cells, fibroblasts, mast cells","Macrophages, neutrophils, eosinophils, lymphocytes","Fibroblasts, adipocytes, mast cells, neutrophils",3,,"The lecture lists macrophages, neutrophils, eosinophils, lymphocytes, plasma cells, and mast cells among free cells."
Multi-select: Which statements about connective tissue are supported by the assigned sources?,The extracellular volume can exceed the cellular volume,Its ECM contains protein fibers,All adult connective tissues derive from mesenchyme,Its defining component is a continuous epithelial sheet,"1,2,3",,"The sources describe connective tissue as matrix-rich, containing protein fibers and ground substance, and derived from mesenchyme. A continuous epithelial sheet is characteristic of epithelium, not connective tissue."
Which statement best explains why connective tissue can show major structural diversity?,Ground substance is absent from dense tissues,"Different amounts of cells, fibers, and ground substance",Only the resident cells determine tissue mechanics,All connective tissues contain identical proportions of collagen,2,,"The chapter explicitly relates connective-tissue diversity to differences in the composition and amounts of cells, fibers, and ground substance."
Which connective-tissue role depends most directly on its vascular supply?,Keratinization,Nutrition,Ciliary movement,Electrical insulation,2,,The lecture identifies nutrition as a connective-tissue function and links this to blood vessels delivering nutrients and removing wastes.
Which three classes form the ground substance according to the lecture?,"GAGs, proteoglycans, adhesive glycoproteins","Collagen, actin, tubulin","Elastin, fibrillin, keratin","Albumin, globulin, fibrinogen",1,,"Ground substance is formed by glycosaminoglycans, proteoglycans, and multiadhesive glycoproteins."
"Which GAG is uniquely described as a very long, nonsulfated molecule synthesized directly into the ECM at the cell membrane?",Dermatan sulfate,Hyaluronan,Keratan sulfate,Heparan sulfate,2,,"Hyaluronan is the large, nonsulfated GAG synthesized at the cell membrane rather than in the Golgi, and it binds large amounts of water."
