Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which property is especially optimized in muscle tissue?,Rapid phagocytosis,Extracellular mineralization,Secretion into ducts,Contractility,4,,"Muscle tissue is composed of cells specialized to optimize contractility, the ability to generate force and shorten or develop tension."
Which pair of proteins forms the major contractile filament system in all three muscle types?,Keratin and laminin,Actin and myosin,Tubulin and dynein,Collagen and elastin,2,,"In skeletal, cardiac, and smooth muscle, contraction depends on interaction between thin actin filaments and thick myosin filaments."
Most muscle cells are derived embryologically from which tissue?,Surface ectoderm,Mesoderm,Endoderm,Neural crest only,2,,The chapter states that essentially all muscle cells are of mesodermal origin.
What is the muscle-cell cytoplasm called?,Sarcolemma,Sarcoplasm,Sarcoplasmic reticulum,Endomysium,2,,Sarcoplasm is the specialized term for the cytoplasm of a muscle cell.
What is the specialized name for smooth endoplasmic reticulum in muscle cells?,Sarcoplasmic reticulum,Sarcolemma,Myofibril,Sarcoplasm,1,,The smooth ER of muscle cells is called the sarcoplasmic reticulum and is especially important for calcium handling.
What does the term sarcolemma refer to in muscle histology?,The cytoplasm around myofibrils,The contractile unit between two Z discs,The muscle cell membrane together with its external lamina,The connective tissue surrounding a fascicle,3,,The text uses sarcolemma for the muscle cell membrane and its external lamina.
"Which muscle type is typically long, multinucleated, striated, and voluntary?",Cardiac muscle,Smooth muscle,Myofibroblast tissue,Skeletal muscle,4,,Skeletal muscle is composed of very long multinucleated fibers with cross-striations and usually voluntary contraction.
"Which muscle type is striated, branched, and joined by intercalated discs?",Cardiac muscle,Skeletal muscle,Dense regular connective tissue,Smooth muscle,1,,"Cardiac muscle cells are striated and often branched, and adjacent cells are linked at intercalated discs."
Which muscle type consists of fusiform cells that lack striations?,Cardiac muscle,Skeletal muscle,Smooth muscle,Elastic connective tissue,3,,Smooth muscle is composed of small tapering fusiform cells without cross-striations.
"Which muscle type normally shows slow, involuntary contractions?",Skeletal muscle,Only extraocular muscle,Dense regular connective tissue,Smooth muscle,4,,"Smooth muscle is specialized for slow, steady involuntary contraction."
"Which muscle type normally shows quick, forceful contraction under voluntary control?",Pericytes,Smooth muscle,Skeletal muscle,Cardiac muscle as the primary mechanism in this tissue,3,,"Skeletal muscle fibers characteristically generate quick, forceful contractions and are usually under voluntary control."
Which muscle type is characterized by vigorous rhythmic involuntary contraction?,Skeletal muscle,Smooth muscle,Cardiac muscle,Tendon,3,,Cardiac muscle contracts involuntarily and rhythmically to pump blood.
Which process enlarges skeletal muscle fibers after exercise by increasing cell volume?,Hyperplasia,Apoptosis,Hypertrophy,Metaplasia,3,,Exercise stimulates formation of new myofibrils and increases individual fiber diameter; this increase in cell volume is hypertrophy.
Which process refers to tissue growth by increasing the number of cells?,Atrophy,Hyperplasia,Hypertrophy,Fibrosis,2,,Hyperplasia means growth by increased cell number. Smooth muscle can do this because its cells retain mitotic capacity.
Which muscle type can readily show both hypertrophy and hyperplasia in response to increased load?,Skeletal muscle,Smooth muscle,Mature tendon,Cardiac muscle,2,,"The comparison table lists smooth muscle as capable of both hypertrophy and hyperplasia, whereas skeletal and cardiac muscle mainly hypertrophy."
Select the muscle types that normally contain striations.,Smooth muscle,Cardiac muscle,Dense irregular connective tissue,Skeletal muscle,"2,4",,Skeletal and cardiac muscle are striated. Smooth muscle lacks sarcomeres and therefore lacks the regular cross-striations.
What is the typical shape of a skeletal muscle fiber?,Flat squamous cell,Fusiform cell,Short branching cell,Long cylindrical cell,4,,Skeletal muscle fibers are long cylindrical multinucleated cells.
Where are skeletal muscle nuclei usually located?,At the exact center of the fiber,Only at the myotendinous junction,Peripherally just beneath the sarcolemma,Inside the sarcoplasmic reticulum,3,,Peripheral nuclei immediately beneath the sarcolemma are a characteristic feature of skeletal muscle.
Why are mature skeletal muscle fibers multinucleated?,Satellite cells migrate into the nucleus,Myoblasts fuse to form multinucleated myotubes,Myofibrils fuse with connective tissue cells,Each nucleus repeatedly divides without cytoplasmic growth,2,,"During development, mesenchymal myoblasts align and fuse into myotubes, producing multinucleated fibers."
What is the immediate multinucleated precursor formed by fused myoblasts?,Myotube,Fascicle,Motor unit,Myofibril,1,,"Myoblast fusion produces multinucleated myotubes, which then differentiate further into skeletal muscle fibers."
Which reserve cells remain adjacent to differentiated skeletal muscle fibers?,Osteocytes,Muscle satellite cells,Plasma cells during the process described in the chapter,Chondrocytes,2,,"A small population of reserve progenitor cells, called satellite cells, remains adjacent to skeletal muscle fibers."
Where are skeletal muscle satellite cells located?,Inside the myosin thick filament,Within the tendon proper only,Inside the external lamina adjacent to the muscle fiber,Inside the sarcoplasmic reticulum under normal conditions,3,,Satellite cells persist on the external surface of muscle fibers within the external lamina.
Which connective tissue layer surrounds an entire skeletal muscle?,Perimysium,Epimysium,Sarcolemma,Endomysium,2,,The epimysium is the outer dense connective tissue sheath around the entire muscle.
Which connective tissue layer surrounds a fascicle?,Perimysium,Endomysium,Epimysium,External lamina only,1,,"Perimysium surrounds each fascicle, which is a bundle of muscle fibers."
Which connective tissue layer directly surrounds an individual skeletal muscle fiber?,Deep fascia,Endomysium,Perimysium,Epimysium,2,,Endomysium is the delicate connective tissue layer around individual muscle fibers.
What is a fascicle in skeletal muscle?,A bundle of muscle fibers,A motor neuron and its axon,A bundle of myosin molecules,A single sarcomere,1,,A fascicle is a group of muscle fibers enclosed by perimysium.
Which skeletal muscle connective tissue layer contains a rich capillary network immediately around individual fibers?,Tendon only,Epimysium,Deep fascia,Endomysium,4,,"Capillaries form a rich network in the endomysium, bringing oxygen close to individual muscle fibers."
Which structures are carried inward by septa from the epimysium?,Only myosin filaments,Only satellite cells,Sarcomeres and Z discs in the normal histologic arrangement,"Larger nerves, blood vessels, and lymphatics",4,,"Epimysial connective tissue sends septa inward that carry larger nerves, blood vessels, and lymphatics."
What is the main mechanical role of collagen in the connective tissue layers of skeletal muscle?,Generate calcium ions,Hydrolyze ATP at myosin heads,Produce acetylcholine,Transmit force generated by contracting muscle fibers,4,,"Collagen in endomysium, perimysium, and epimysium helps transmit mechanical force generated by contracting fibers."
