Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which pair represents the two basic parts of a cell as presented in the slides?,Cytoplasm and nucleus,Nucleus and glycocalyx,Cytoskeleton and extracellular fluid,Plasma membrane and extracellular matrix,1,,The slides divide the cell into cytoplasm and nucleus. The cytoplasm includes cytosol and organelles.
What is the fluid component of the cytoplasm called?,Nucleoplasm,Glycocalyx,Cytosol,Matrix vesicle,3,,The slides define cytosol as the fluid component of cytoplasm that contains or bathes organelles.
Cell differentiation is best described as which process?,Conversion of eukaryotic cells into prokaryotic cells,Specialization of cells through selective gene expression and structural organization for particular functions,Random loss of organelles from embryonic cells,Replacement of cytoplasm by extracellular matrix,2,,The textbook describes differentiation as specialization in which cells express sets of genes that support specific cytoplasmic activities and tissue functions.
Which cell type is specialized for movement according to the specialized-cell table?,Fibroblasts,Mucous-gland cells,Fat cells,Muscle and other contractile cells,4,,The table pairs movement with muscle and other contractile cells.
Which specialized cells are associated with formation of adhesive and tight junctions?,Epithelial cells,Neurons,Adipocytes,Macrophages,1,,The specialized-cell table assigns adhesive and tight-junction formation to epithelial cells.
Which cells are specialized for synthesis and secretion of extracellular matrix components?,Neurons and sensory cells,Mucous-gland cells,Fibroblasts and cells of bone and cartilage,Kidney duct cells and salivary duct cells,3,,The table identifies fibroblasts and bone/cartilage cells as major extracellular-matrix-producing cells.
Which cells are specialized to convert physical and chemical stimuli into action potentials?,Mucous-gland cells,Neurons and sensory cells,Fat cells,Fibroblasts,2,,The specialized-cell table links stimulus conversion into action potentials with neurons and sensory cells.
Cells of digestive glands are especially specialized for which activity?,Lipid storage,Formation of tight junctions only,Steroid storage without secretion,Synthesis and secretion of degradative enzymes,4,,The table pairs digestive-gland cells with synthesis and secretion of degradative enzymes.
"Certain adrenal, testicular, and ovarian cells are specialized for synthesis and secretion of what?",Steroids,Collagen fibers,Glycogen only,Neurotransmitter receptors only,1,,"The specialized-cell table identifies steroid synthesis and secretion as a specialization of certain adrenal, testicular, and ovarian cells."
Which cells are listed as specialized for ion transport?,Fat cells,Macrophages and neutrophils,Cells of the kidney and salivary gland ducts,Cells of bone and cartilage,3,,The table pairs ion transport with kidney and salivary gland duct cells.
