Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
A newborn develops yellowish discoloration of the skin. The source attributes a frequent neonatal cause to underdevelopment of which organelle in liver cells?,Smooth endoplasmic reticulum,Peroxisome,Lysosome,Rough endoplasmic reticulum,1,,"The textbook states that neonatal jaundice can result from underdeveloped smooth ER in hepatocytes, preventing efficient bilirubin conversion for excretion."
A patient has yellow skin because bilirubin and other pigmented compounds have accumulated in extracellular fluid. Which normal process is most directly impaired in the source?,Ubiquitin tagging for proteasomal degradation,Mannose-6-phosphate tagging in the Golgi,Bilirubin metabolism by smooth ER enzymes in hepatocytes,Very-long-chain fatty-acid transport into peroxisomes,3,,Jaundice is linked to bilirubin accumulation; bilirubin is normally metabolized by smooth ER enzymes in liver cells and excreted in bile.
Which source-supported clues fit neonatal jaundice? Select all that apply.,Yellowish skin discoloration,Underdeveloped smooth ER in liver cells,Delayed phagosome-lysosome fusion,Failure to convert bilirubin to a readily excreted form,"1,2,4",,These findings are explicitly stated in the textbook jaundice medical application.
"A patient has blue sclera, multiple fractures, hearing loss, and opalescent teeth. These findings are visibly labeled on the disease slide. Which diagnosis is being illustrated?",I-cell disease,Osteogenesis imperfecta,Chediak-Higashi syndrome,MERRF,2,,"The osteogenesis imperfecta slide image labels blue sclera, multiple fractures, hearing loss, and opalescent teeth."
A patient with multiple fractures and blue sclera has very weak bone tissue. Which molecular abnormality is emphasized in the uploaded material?,Defective glucocerebrosidase,Defective peroxisomal VLCFA transport,Defective mitochondrial lysine-tRNA,Defective procollagen synthesis/secretion by bone cells,4,,"The source links osteogenesis imperfecta to defective procollagen that cannot assemble properly, producing very weak bone tissue."
"A patient has hearing loss, opalescent teeth, and recurrent fractures in the slide illustration. Which cellular pathway is emphasized as abnormal?",Rough ER protein quality control and ER-associated degradation,Clathrin-mediated receptor recycling,Peroxisomal beta-oxidation,Smooth ER bilirubin handling,1,,The slide connects osteogenesis imperfecta with rough ER and ERAD dysfunction during procollagen production.
Which findings are visibly labeled on the osteogenesis imperfecta slide? Select all that apply.,Hearing loss,Severe neurologic symptoms from myelin disruption,Blue sclera,Multiple fractures,"1,3,4",,"The slide image labels blue sclera, multiple fractures, hearing loss, and opalescent teeth."
A child has a disorder affecting the skeleton and nervous system. Testing shows failure to form the Golgi lysosomal targeting marker mannose-6-phosphate. Which diagnosis best fits?,Hurler syndrome,Gaucher disease,I-cell disease,MERRF,3,,"The textbook table lists skeleton and nervous system involvement in I-cell disease, while the slide identifies defective mannose-6-phosphate formation."
A patient has an autosomal recessive deficiency of N-acetylglucosamine-phosphotransferase. Which disease is described?,Chediak-Higashi syndrome,I-cell disease,Zellweger syndrome,Tay-Sachs disease,2,,The slide explicitly identifies this phosphotransferase deficiency in I-cell disease.
A patient has a lysosomal storage disorder with alpha-L-iduronidase deficiency and major involvement of the skeleton and nervous system. Which disease matches the source table?,Gaucher disease,McArdle syndrome,Tay-Sachs disease,Hurler syndrome (MPS I),4,,The source table pairs Hurler syndrome with alpha-L-iduronidase and skeleton/nervous-system involvement.
A lysosomal storage disorder mainly affects the nervous system and is associated with a faulty GM2-gangliosidase in the source table. Which diagnosis is it?,Tay-Sachs disease,Hurler syndrome,I-cell disease,Gaucher disease,1,,The source table pairs Tay-Sachs disease with GM2-gangliosidase and nervous-system involvement.
A patient has a lysosomal storage disorder in which the liver and spleen are the major organs affected. Which enzyme-disease pair matches the source?,I-cell disease - lysine-tRNA,Hurler syndrome - muscle phosphorylase,Gaucher disease - glucocerebrosidase,Tay-Sachs disease - alpha-L-iduronidase,3,,The table lists Gaucher disease with glucocerebrosidase deficiency and liver/spleen involvement.
A disorder in the source table primarily involves skeletal muscle and is associated with muscle phosphorylase deficiency. Which diagnosis is listed?,Tay-Sachs disease,McArdle syndrome,Gaucher disease,I-cell disease,2,,The uploaded textbook table lists McArdle syndrome with muscle phosphorylase deficiency and skeletal-muscle involvement.
A cell contains enlarged secondary lysosomes and residual bodies packed with indigestible material. Which disease mechanism does the textbook describe?,Mitochondrial tRNA mutation,Keratin 5/14 mutation,Microtubule polymerization failure,Lysosomal storage disorder due to a missing or defective digestive enzyme,4,,The textbook states that lysosomal enzyme defects cause indigestible macromolecules to accumulate in secondary lysosomes or residual bodies.
"A 39-year-old construction worker has progressive uncoordination, long-standing bouts of depression and apathy, dysarthria, saccadic extraocular eye movements, a hyperactive gag reflex, and increased tone. MRI/CT show striatal and caudate atrophy with boxcar ventricles. Which disease is described in the textbook vignette?",Huntington disease,Alzheimer disease,Chediak-Higashi syndrome,MERRF,1,,These findings reproduce the textbook assessment vignette for Huntington disease.
"A patient has depression, apathy, progressive uncoordination, dysarthria, increased extremity tone, and caudate/striatal atrophy. PCR shows one allele with 49 CAG repeats. Which diagnosis best fits the supplied material?",MERRF,Gaucher disease,Huntington disease,Zellweger syndrome,3,,"The textbook Huntington vignette includes these neurologic/psychiatric findings, imaging changes, and a 49-CAG-repeat allele."
A patient with Huntington disease has a textbook question focused on altered mitochondrial membrane potential and bioenergetic failure. Which mitochondrial process is being tested?,Bilirubin metabolism in smooth ER,Proton-translocating activity in the inner mitochondrial membrane,Clathrin coating of endocytic vesicles,Mannose-6-phosphate tagging in the Golgi,2,,The textbook answer key identifies the proton-translocating activity of the inner mitochondrial membrane as the relevant mechanism.
Which findings appear in the textbook Huntington vignette? Select all that apply.,Depression and apathy,Dysarthria and saccadic extraocular eye movements,Easy friction-induced skin blistering,Striatal and caudate atrophy with boxcar ventricles,"1,2,4",,All three selected findings are explicitly included in the Huntington assessment vignette.
A patient has protein aggregates causing neurodegeneration but no source-specific symptom vignette beyond that. Which two diseases are named in the protein-quality-control medical application?,I-cell disease and Gaucher disease,MERRF and Zellweger syndrome,Hurler syndrome and Tay-Sachs disease,Alzheimer disease and Huntington disease,4,,The textbook names Alzheimer and Huntington diseases as neurologic disorders initially associated with damaging protein aggregates.
A patient has myoclonic epilepsy and ragged-red fibers. Which disease name in the uploaded material directly matches these findings?,MERRF,Gaucher disease,Zellweger syndrome,Chediak-Higashi syndrome,1,,MERRF stands for myoclonic epilepsy with ragged-red fibers.
A skeletal-muscle mitochondrial disorder involves a mutated mitochondrial lysine-tRNA gene and defective respiratory-chain protein synthesis. Which diagnosis is it?,Epidermolysis bullosa simplex,I-cell disease,MERRF,Tay-Sachs disease,3,,The slides and textbook describe this exact molecular defect in MERRF.
A disease with ragged-red muscle fibers follows a maternal mitochondrial pattern in the source. Which genome contains the mutation?,Golgi DNA,Mitochondrial DNA,Lysosomal DNA,Nuclear keratin genes,2,,The source states that mitochondrial DNA is maternally inherited and identifies the MERRF mutation in mtDNA.
Which clues support MERRF in the source? Select all that apply.,Myoclonic epilepsy,Ragged-red fibers,Mutated mitochondrial lysine-tRNA,Defective KRT5 and KRT14,"1,2,3",,The disease name and molecular description provide these clues.
An infant has severe neurologic symptoms because very-long-chain fatty acids accumulate in body fluids and disrupt myelin sheaths. A defective peroxisomal membrane protein prevents VLCFA transport for beta-oxidation. Which diagnosis is described?,Tay-Sachs disease,I-cell disease,MERRF,Neonatal adrenoleukodystrophy,4,,The textbook gives this mechanism and clinical consequence for neonatal adrenoleukodystrophy.
A patient has a peroxisomal disorder with severe neurologic symptoms caused by myelin disruption. Which accumulating substrate is emphasized?,Very-long-chain fatty acids,Glucocerebroside,Procollagen,Bilirubin,1,,The textbook states that VLCFAs accumulate and can disrupt myelin in neonatal adrenoleukodystrophy.
A patient has a multisystem disorder caused by deficiencies of peroxisomal enzymes. Which disease does the textbook identify?,MERRF,Epidermolysis bullosa simplex,Zellweger syndrome,Hurler syndrome,3,,The textbook states that peroxisomal enzyme deficiencies cause Zellweger syndrome affecting several organ systems.
A peroxisome-deficient patient cannot oxidize very-long-chain fatty acids and accumulates bile-acid precursors. Which disease family from the slide should be considered?,Golgi targeting disorders only,Peroxisomal disorders such as Zellweger syndrome or neonatal adrenoleukodystrophy,Lysosomal storage disorders only,Keratin intermediate-filament disorders,2,,The peroxisome slide links this metabolic pattern to peroxisome deficiency and names Zellweger syndrome and neonatal adrenoleukodystrophy.
Which findings or mechanisms are source-supported for neonatal adrenoleukodystrophy? Select all that apply.,Blue sclera,VLCFA accumulation,Myelin disruption,Severe neurologic symptoms,"2,3,4",,"The textbook explicitly links neonatal adrenoleukodystrophy with VLCFA accumulation, disrupted myelin, and severe neurologic symptoms."
A patient has an autosomal recessive immunodeficiency in which leukocytes show delayed fusion of phagosomes with lysosomes. Which syndrome is described?,I-cell disease,MERRF,Gaucher disease,Chediak-Higashi syndrome,4,,The slide describes Chediak-Higashi syndrome as an AR immunodeficiency with delayed phagosome-lysosome fusion.
An immunodeficiency is caused by defective microtubule polymerization and abnormal intracellular protein transport. Which diagnosis is the slide example?,Chediak-Higashi syndrome,Tay-Sachs disease,Osteogenesis imperfecta,Zellweger syndrome,1,,The slide directly links these abnormalities to Chediak-Higashi syndrome.
"A leukocyte engulfs a bacterium, but delivery of the phagosome to lysosomal digestion is delayed. Which cellular defect best matches the source?",Defective bilirubin metabolism,Defective mitochondrial lysine-tRNA,Defective microtubule-dependent intracellular transport,Defective keratin mechanical support,3,,Chediak-Higashi syndrome is described as a microtubule polymerization and transport defect causing delayed phagosome-lysosome fusion.
A 14-year-old boy has skin that blisters easily with rubbing or scratching. The blisters occur mainly on his hands and feet and heal without scars. KRT5 and KRT14 are mutated. Which diagnosis is given in the textbook vignette?,I-cell disease,Epidermolysis bullosa simplex,Osteogenesis imperfecta,Chediak-Higashi syndrome,2,,This is the exact textbook assessment presentation of epidermolysis bullosa simplex.
A teenager develops friction-induced blisters on the hands and feet that heal without scarring. Which cytoskeletal function is primarily lost?,Mitochondrial ATP synthesis,Microtubule-driven vesicle transport,Actin-dependent phagocytosis,Mechanical stability from keratin intermediate filaments,4,,The EBS vignette links KRT5/KRT14 mutations to the mechanical-stability function of keratin.
Which findings belong to the source EBS vignette? Select all that apply.,Predominant involvement of hands and feet,Blistering with rubbing or scratching,Caudate atrophy with boxcar ventricles,Healing without scars,"1,2,4",,All three selected findings are explicitly stated in the textbook vignette.
A 42-year-old woman has two Pap smears showing dysplastic epithelial cells. Molecular testing detects high-risk HPV E6 and E7 DNA. E6 promotes p53 degradation. Which mechanism of carcinogenesis is keyed in the slide?,Prevention of apoptosis,Peroxisomal VLCFA accumulation,Inhibition of telomerase expression,Permanent cell-cycle arrest,1,,The slide question identifies prevention of apoptosis as the mechanism by which E6-mediated p53 degradation promotes cervical cancer.
A woman has repeated dysplastic Pap smears and high-risk HPV. Which cellular protein does E6 target for degradation in the slide vignette?,Keratin 14,Clathrin,p53,Catalase,3,,The slide states that E6 binds p53 and causes its degradation.
Which clues appear in the slide cervical-cancer vignette? Select all that apply.,Very-long-chain fatty-acid accumulation,p53 degradation by E6,Dysplastic epithelial cells on Pap smears,High-risk HPV E6/E7 DNA,"2,3,4",,These are the specific clues presented in the HPV slide vignette.
"A gland produces parathyroid hormone, but target cells cannot respond because the receptor is nonfunctional. Which condition is used as the textbook example?",Gaucher disease,Pseudohypoparathyroidism,Jaundice,MERRF,2,,The textbook medical application gives pseudohypoparathyroidism as an example of a nonfunctioning parathyroid-hormone receptor.
A patient has a form of dwarfism in which growth hormone is produced normally but target cells cannot respond. What type of cellular defect is emphasized?,Defective peroxisomal catalase,Defective lysosomal hydrolase,Defective mitochondrial tRNA,Nonfunctioning growth-hormone receptor,4,,The textbook states that one type of dwarfism is caused by a nonfunctioning growth-hormone receptor despite hormone production.
"Iron-containing hemosiderin is present widely in cells throughout the body, but the source states that the condition itself does not damage cell or organ function. What is this called?",Hemosiderosis,Gaucher disease,MERRF,Hemochromatosis,1,,The textbook explicitly states that hemosiderosis itself does not damage cell or organ function.
A patient has extreme accumulation of iron in cellular hemosiderin with damage to the liver and other organs. Which disorder is named in the textbook?,Chediak-Higashi syndrome,Hemosiderosis alone,Hemochromatosis or iron overload syndrome,I-cell disease,3,,"The textbook distinguishes damaging extreme iron accumulation, such as hemochromatosis/iron overload syndrome, from uncomplicated hemosiderosis."
"Widespread hemosiderin is found after excessive red-blood-cell lysis, but there is no direct organ damage. Which diagnosis best matches the source description?",Zellweger syndrome,Hemosiderosis,Hemochromatosis,Tay-Sachs disease,2,,The source says hemosiderosis may follow excessive RBC lysis and does not itself damage organ function.
A brain tumor is evaluated by immunocytochemistry to determine its cellular origin. Which intermediate-filament marker is specifically cited for identifying astrocytomas?,Desmin,Tubulin,Keratin 5,GFAP,4,,The textbook medical application states that GFAP is used to identify astrocytomas.
