Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which statement best describes the usual distribution of sodium and potassium across the cell membrane?,Na+ is high outside and K+ is high inside,Na+ and K+ are both highest outside,Na+ and K+ are present at nearly equal concentrations,Na+ is high inside and K+ is high outside,1,,The slides show abundant Na+ in extracellular fluid and abundant K+ in intracellular fluid.
Which ion is present in relatively high concentration in extracellular fluid according to the slides?,K+,Cl−,Intracellular protein anions,Phosphate,2,,"Extracellular fluid contains a large amount of chloride, while phosphate and proteins are relatively concentrated inside cells."
Which substances are described as considerably more concentrated in intracellular fluid than extracellular fluid?,Calcium and bicarbonate,Sodium and chloride,Phosphates and proteins,Glucose and sodium as the main explanation given here,3,,The slide explicitly states that phosphates and proteins are considerably more concentrated in intracellular fluid.
What is the resting membrane potential (RMP)?,The concentration difference of sodium alone across the membrane,The positive voltage reached only during an action potential,The amount of ATP stored in the membrane before stimulation,The voltage difference across an inactive cell membrane with the inside negative relative to the outside,4,,"RMP is the potential difference across the membrane of an inactive cell, with the cell interior negative relative to the exterior."
What resting membrane potential is given for a typical neuron?,About −70 mV,About −10 mV,About +35 mV,About −140 mV,1,,The slides list a typical neuronal RMP of approximately −70 mV.
What resting membrane potential is given for a typical skeletal muscle cell?,About +70 mV,About −90 mV,About −40 mV,About −10 mV,2,,The slide gives approximately −90 mV for a typical skeletal muscle cell.
Which value is closest to the resting membrane potential described for a typical epithelial cell?,Exactly −90 mV,Always −100 mV,Less negative than −50 mV,Approximately +35 mV,3,,The slides state that a typical epithelial cell has an RMP less negative than about −50 mV.
Which TWO conditions are required for a potential difference to exist across a lipid bilayer?,Membrane permeability to one or more of those ions,Complete impermeability to every ion,An unequal distribution of one or more ion species,Equal ion concentrations on both sides,"1,3",,The slides require both a concentration gradient and permeability to at least one ion species.
"In this context, what does a concentration gradient mean?",A voltage that exists without any ion concentration difference,A difference in membrane thickness between two regions,A uniform ion concentration maintained on both sides,An unequal concentration of an ion across the membrane,4,,The slides define the needed unequal ion distribution across the membrane as a concentration gradient.
Why can a concentration gradient contribute to membrane voltage only if the membrane is permeable to the ion?,The ion must be able to move across the membrane for charge separation to develop,Permeability forces all ions to become equally concentrated immediately,A membrane potential requires proteins to cross the membrane instead of ions,Permeability removes the concentration gradient before any voltage forms,1,,The slides link membrane potential to unequal ion distribution plus permeability; movement of the permeant ion allows electrical separation.
What is the Nernst potential for an ion?,The voltage produced by the Na+-K+ pump alone,The membrane potential that exactly opposes net diffusion of that ion,The voltage at which every ion has equal permeability,The minimum stimulus duration needed to trigger an action potential,2,,"The Nernst potential, also called equilibrium potential, is the diffusion potential that exactly opposes net diffusion of a particular ion."
What other term do the slides use for the Nernst potential?,Generator potential,Plateau potential,Equilibrium potential,Threshold potential,3,,The slide identifies the Nernst potential as the equilibrium potential for that ion.
"For a singly charged ion in the simplified Nernst equation shown, what numerical constant is used?",90 mV,142 mV,35 mV,61 mV,4,,The slide gives equilibrium potential as ±61 log([in]/[out]) for singly charged ions.
How is the constant modified for Ca2+ in the simplified Nernst equation shown?,Use 61/2,Use 61 unchanged because charge is ignored,Use 61×2,Use 61+2,1,,"Because calcium has a charge of +2, the slide states to use 61 divided by 2."
"According to the sign convention shown in the slides, which sign is used for cations in the simplified Nernst equation?",A positive sign,A negative sign,The sign alternates with membrane thickness,No sign,2,,The slide says to use the negative sign for cations and the positive sign for anions.
What equilibrium potential for Na+ is calculated in the slide example using 10 mmol inside and 142 mmol outside?,About −94 mV,About −70 mV,About +70 mV,About +132 mV,3,,The worked Nernst example gives approximately +70 mV for Na+.
Which potassium equilibrium potential does the slide tell students to memorize?,Approximately −40 mV,Approximately +132 mV,Approximately +70 mV,Approximately −94 mV,4,,The slide lists K+ at approximately −94 mV.
Which calcium equilibrium potential does the slide tell students to memorize?,Approximately +132 mV,Approximately −94 mV,Approximately +35 mV,Approximately −70 mV,1,,The slide lists Ca2+ at approximately +132 mV.
"At rest, why does K+ contribute more strongly than Na+ to membrane potential?",Na+ has no concentration gradient across the membrane as the primary event in this diagram,Resting K+ permeability is greater because there are more K+ channels,Na+ cannot cross any membrane under any condition,K+ is pumped only out of cells while Na+ is pumped only in,2,,"The slides state that there are more K+ channels at rest, making K+ permeability greater than Na+ permeability."
Which transport pattern of the Na+-K+ pump is described in the slides?,Na+ moves in while K+ remains fixed,K+ moves out while Na+ remains fixed,Na+ is transported out and K+ is transported in,Na+ and K+ are both transported out,3,,The slides state that Na+ is actively transported out of cells and K+ into cells.
Which factor contributes most to the diffusion component of the normal resting membrane potential?,Protein diffusion,Glucose diffusion,Ca2+ diffusion,K+ diffusion,4,,The slide states that the diffusion potential is determined almost entirely by K+ diffusion.
