Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct,Image,Explanation
Which statement best describes the usual distribution of sodium and potassium across the cell membrane?,Na+ is high outside and K+ is high inside,Na+ and K+ are both highest outside,Na+ and K+ are present at nearly equal concentrations,Na+ is high inside and K+ is high outside,1,,"Na+ is concentrated outside the cell, whereas K+ is concentrated inside. That separation creates strong concentration gradients for both ions. When selective ion channels open, those gradients drive ion movement, which is the basis for changing membrane voltage."
Which ion is present in relatively high concentration in extracellular fluid according to the slides?,K+,Cl−,Intracellular protein anions,Phosphate,2,,"Cl− is one of the major ions concentrated in extracellular fluid in the slide. The important pattern is that extracellular fluid is rich in Na+ and Cl−, whereas intracellular fluid is rich in K+, phosphates, and proteins. Membrane potentials arise because these ions are not distributed equally across the membrane."
Which substances are described as considerably more concentrated in intracellular fluid than extracellular fluid?,Calcium and bicarbonate,Sodium and chloride,Phosphates and proteins,Glucose and sodium as the main explanation given here,3,,"The correct answer is **Phosphates and proteins**. The important idea is that this item is testing how ion concentration, membrane permeability, channel state, or membrane voltage causes the next step in the process. Rather than memorizing the label alone, connect **Phosphates and proteins** to what happens immediately before it and what electrical or ionic change it produces immediately afterward."
What is the resting membrane potential (RMP)?,The concentration difference of sodium alone across the membrane,The positive voltage reached only during an action potential,The amount of ATP stored in the membrane before stimulation,The voltage difference across an inactive cell membrane with the inside negative relative to the outside,4,,Resting membrane potential is the voltage difference across the membrane when the cell is not actively firing. The inside is negative relative to the outside. This happens because ions are unequally distributed and the resting membrane is much more permeable to some ions—especially K+—than to others.
What resting membrane potential is given for a typical neuron?,About −70 mV,About −10 mV,About +35 mV,About −140 mV,1,,"A typical neuron rests near -70 mV, meaning the inside is about 70 mV more negative than the outside. This value is not the equilibrium potential of a single ion; it reflects the combined effects of several ions, weighted strongly toward K+ because resting K+ permeability is high."
What resting membrane potential is given for a typical skeletal muscle cell?,About +70 mV,About −90 mV,About −40 mV,About −10 mV,2,,"Skeletal muscle is shown near -90 mV, which is more negative than a typical neuron's -70 mV. A more negative resting value means the inside of the muscle fiber has a larger electrical separation from the outside at rest."
Which value is closest to the resting membrane potential described for a typical epithelial cell?,Exactly −90 mV,Always −100 mV,Less negative than −50 mV,Approximately +35 mV,3,,The slide gives epithelial cells a resting potential less negative than about -50 mV. This illustrates that resting membrane potential is not identical in every cell type; different membranes have different resting permeabilities and therefore different resting voltages.
Which TWO conditions are required for a potential difference to exist across a lipid bilayer?,Membrane permeability to one or more of those ions,Complete impermeability to every ion,An unequal distribution of one or more ion species,Equal ion concentrations on both sides,"1,3",,"A concentration gradient gives an ion a reason to move, but movement cannot occur if the membrane is completely impermeable to that ion. Permeability provides a pathway through the membrane. When both conditions exist, ions can redistribute and separate charge, creating a voltage difference."
"In this context, what does a concentration gradient mean?",A voltage that exists without any ion concentration difference,A difference in membrane thickness between two regions,A uniform ion concentration maintained on both sides,An unequal concentration of an ion across the membrane,4,,A concentration gradient means an ion is present at different concentrations on the two sides of a membrane. The ion therefore tends to diffuse from the side where it is more concentrated toward the side where it is less concentrated. That chemical driving force is one of the forces that determines membrane potential.
Why can a concentration gradient contribute to membrane voltage only if the membrane is permeable to the ion?,The ion must be able to move across the membrane for charge separation to develop,Permeability forces all ions to become equally concentrated immediately,A membrane potential requires proteins to cross the membrane instead of ions,Permeability removes the concentration gradient before any voltage forms,1,,"A gradient by itself is only stored potential for movement. If the membrane has no channel or other pathway for that ion, the ion cannot cross and no charge separation develops. Once the membrane becomes permeable, ion movement can change the voltage across the membrane."
What is the Nernst potential for an ion?,The voltage produced by the Na+-K+ pump alone,The membrane potential that exactly opposes net diffusion of that ion,The voltage at which every ion has equal permeability,The minimum stimulus duration needed to trigger an action potential,2,,"An ion is pulled by two forces: its concentration gradient and the electrical force created by membrane voltage. The Nernst potential is the voltage at which those two forces exactly balance for that one ion. At that voltage, the ion can still move microscopically, but there is no net diffusion in one direction."
What other term do the slides use for the Nernst potential?,Generator potential,Plateau potential,Equilibrium potential,Threshold potential,3,,'Equilibrium potential' means the same thing as Nernst potential. It is the membrane voltage where the chemical push from the ion's concentration gradient is exactly balanced by the electrical push or pull on that ion.
"For a singly charged ion in the simplified Nernst equation shown, what numerical constant is used?",90 mV,142 mV,35 mV,61 mV,4,,"For a singly charged ion in the slide's simplified equation, the constant is 61 mV. That constant is multiplied by the logarithm of the inside-to-outside concentration ratio, with the sign chosen according to whether the ion is a cation or anion."
How is the constant modified for Ca2+ in the simplified Nernst equation shown?,Use 61/2,Use 61 unchanged because charge is ignored,Use 61×2,Use 61+2,1,,"Ca2+ carries two positive charges instead of one, so the slide divides 61 by 2. The ion's valence changes how much electrical voltage is needed to balance a given concentration gradient."
"According to the sign convention shown in the slides, which sign is used for cations in the simplified Nernst equation?",A positive sign,A negative sign,The sign alternates with membrane thickness,No sign,2,,"The slide writes the equation as ±61 log([in]/[out]). With that arrangement, cations use the negative sign and anions the positive sign. The sign matters because it determines whether the equilibrium voltage is positive or negative."
What equilibrium potential for Na+ is calculated in the slide example using 10 mmol inside and 142 mmol outside?,About −94 mV,About −70 mV,About +70 mV,About +132 mV,3,,"Na+ is much more concentrated outside than inside, so diffusion strongly favors Na+ entering the cell. A positive intracellular voltage is needed to electrically oppose that inward movement. Using the slide's concentrations gives a Na+ equilibrium potential of about +70 mV."
Which potassium equilibrium potential does the slide tell students to memorize?,Approximately −40 mV,Approximately +132 mV,Approximately +70 mV,Approximately −94 mV,4,,"K+ is concentrated inside the cell, so its chemical gradient pushes it outward. As K+ leaves, the inside becomes negative, which electrically pulls K+ back inward. Balance occurs near -94 mV in the slide."
Which calcium equilibrium potential does the slide tell students to memorize?,Approximately +132 mV,Approximately −94 mV,Approximately +35 mV,Approximately −70 mV,1,,"Ca2+ is overwhelmingly more concentrated outside the cell than inside, so its chemical gradient strongly favors entry. A very positive intracellular voltage is required to oppose that inward tendency, giving the strongly positive value of about +132 mV."
"At rest, why does K+ contribute more strongly than Na+ to membrane potential?",Na+ has no concentration gradient across the membrane as the primary event in this diagram,Resting K+ permeability is greater because there are more K+ channels,Na+ cannot cross any membrane under any condition,K+ is pumped only out of cells while Na+ is pumped only in,2,,"The correct answer is **Resting K+ permeability is greater because there are more K+ channels**. The important idea is that this item is testing how ion concentration, membrane permeability, channel state, or membrane voltage causes the next step in the process. Rather than memorizing the label alone, connect **Resting K+ permeability is greater because there are more K+ channels** to what happens immediately before it and what electrical or ionic change it produces immediately afterward."
Which transport pattern of the Na+-K+ pump is described in the slides?,Na+ moves in while K+ remains fixed,K+ moves out while Na+ remains fixed,Na+ is transported out and K+ is transported in,Na+ and K+ are both transported out,3,,"The Na+-K+ pump uses energy to move Na+ out and K+ into the cell, against their concentration gradients. This preserves high extracellular Na+ and high intracellular K+. Those gradients are the stored chemical energy that later drives passive ion movement through channels."
Which factor contributes most to the diffusion component of the normal resting membrane potential?,Protein diffusion,Glucose diffusion,Ca2+ diffusion,K+ diffusion,4,,"Most of the diffusion potential comes from K+ because the resting membrane has many more open K+ channels than Na+ channels. So although both ions have gradients, K+ has much more opportunity to move and therefore dominates Vm."
Which THREE components are listed as contributors to the origin of normal RMP?,K+ diffusion potential,Ca2+ plateau current,Na+-K+ pump,Na+ diffusion,"1,3,4",,"The slide separates RMP into K+ diffusion, a smaller Na+ diffusion contribution, and the Na+-K+ pump. K+ diffusion supplies most of the voltage because K+ permeability is highest at rest. The pump maintains the gradients and contributes a small extra negative voltage directly."
Approximately what membrane potential would Na+ and K+ diffusion alone produce in the example leading to −90 mV?,About −86 mV,About +35 mV,About −4 mV,About −140 mV,1,,Na+ and K+ diffusion together would produce about -86 mV in the example. That means ion diffusion—mainly K+ diffusion—accounts for nearly the entire resting voltage before the pump's small direct contribution is added.
How much additional negativity is attributed directly to the continuously acting Na+-K+ pump in the −90 mV example?,About −86 mV,About −4 mV,About −70 mV,About +4 mV,2,,The Na+-K+ pump contributes about another -4 mV directly because it moves more positive charge out than in. Adding that small electrogenic effect to the roughly -86 mV diffusion potential gives about -90 mV.
What did the ouabain experiment demonstrate about the resting membrane potential?,The Na+-K+ pump is the only cause of membrane voltage,RMP disappears instantly whenever K+ channels open,RMP can persist for hours even when the Na+-K+ pump is inhibited,Blocking the pump immediately reverses the membrane potential to +70 mV,3,,"Ouabain blocks the Na+-K+ pump, but the membrane potential does not vanish immediately. The existing Na+ and K+ gradients remain for a while, so passive K+ and Na+ diffusion can continue generating voltage. This proves that the pump mainly maintains the gradients rather than directly creating most of the RMP."
What is the main indirect role of the Na+-K+ pump in maintaining RMP?,Producing the entire membrane voltage without ion diffusion in the process shown on the slide,Opening voltage-gated Na+ channels at threshold,Closing K+ leak channels during rest,Maintaining normal intracellular Na+ and K+ concentration gradients,4,,"The pump continually restores the unequal Na+ and K+ concentrations across the membrane. Without that maintenance, the gradients would gradually dissipate and the diffusion forces that generate RMP would disappear."
Why does K+ leaving the cell tend to make the cell interior negative in the slide summary?,Negatively charged intracellular proteins cannot follow K+ out,Sodium exits through the same channels in equal amounts as the main explanation given here,Chloride is actively pumped out at the same rate,Every K+ ion that leaves is replaced by a positive protein,1,,"K+ carries positive charge. When it leaves the cell, positive charge is removed from the interior. Large negatively charged intracellular proteins cannot follow through the K+ channels, so the inside becomes relatively negative."
What does the Goldman-Hodgkin-Katz equation account for that a single-ion Nernst equation does not?,Only the stimulus duration needed for excitation,The relative permeabilities and concentrations of more than one permeant ion,The mechanical force generated by contracting muscle during the state described in the question,Only the number of ATP molecules used by the Na+-K+ pump,2,,"The Nernst equation asks what voltage would balance one ion by itself. Real resting membranes are permeable to several ions at once, so the GHK equation combines their concentration gradients and weights each ion by how permeable the membrane is to it. That is why GHK better estimates the actual membrane potential."
"In the example shown, how does K+ permeability compare with Na+ permeability?",PK and PNa are equal,PK is one quarter of PNa,PK is 25 times PNa,PNa is 25 times PK,3,,"PK being 25 times PNa means the resting membrane lets K+ cross far more readily than Na+. Because the ion with the greatest permeability has the greatest influence on Vm, this is why resting voltage lies much closer to EK than to ENa."
"If PK is 25 times PNa, what ratio PNa/PK is used in the GHK example?",4,25,0.25,0.04,4,,"If K+ permeability is 25 times Na+ permeability, then PNa/PK is 1/25 = 0.04. This small number tells you that Na+ has only a small influence on the resting voltage compared with K+."
What membrane potential is calculated in the GHK example shown?,Approximately −70.6 mV,Approximately −94 mV,Approximately +132 mV,Approximately +70.6 mV,1,,"The GHK example produces about -70.6 mV because the membrane is far more permeable to K+ than to Na+. K+ therefore pulls the voltage strongly toward its negative equilibrium potential, while the smaller Na+ permeability shifts the result somewhat toward ENa."
What makes a cell 'excitable' according to the slides?,It permanently maintains a positive interior,It can rapidly change its membrane potential in response to stimulation,It lacks ion channels at rest,It cannot alter membrane permeability,2,,An excitable cell can rapidly change its membrane potential when it receives an appropriate stimulus. That electrical response is possible because its membrane contains ion channels whose permeability can change over milliseconds.
Which cell types are listed as examples of excitable cells?,Neurons,Muscle cells,Some endocrine cells,Mature red blood cells,"1,2,3",,"The slides list neurons, muscle cells, some endocrine cells, and some macrophages as excitable cells. What they have in common here is the ability to change membrane voltage rapidly in response to electrical, chemical, or mechanical stimulation."
Which of the following is listed as a possible type of stimulus for an excitable cell?,Only genetic mutation,Only changes in blood glucose,Mechanical stimulation,Only thermal radiation,3,,"Excitable cells can respond to several kinds of input, including electrical, chemical, and mechanical stimuli. The stimulus is simply the event that changes membrane permeability enough to alter the membrane potential."
Which category is a local nonpropagated potential?,A propagated action potential,A ventricular plateau phase,A refractory period,A synaptic potential,4,,"A local potential is a membrane-voltage change that remains localized rather than being regenerated along the entire membrane. The slides list synaptic, generator, and electrotonic potentials as examples."
Which property distinguishes local potentials from action potentials in the slide set?,Local potentials can summate,Local potentials require a plateau phase,Local potentials are always all-or-none,Local potentials propagate without decrement,1,,"Local potentials are graded, so their amplitudes can vary and separate local responses can add together. Action potentials are different: once threshold is reached, they are all-or-none and propagate without decrement."
What is temporal summation?,An action potential increases in size as it travels,Repeated inputs close together in time combine,A refractory period is shortened by repeated stimulation,Inputs from different locations combine at the same instant,2,,Temporal summation means one input is repeated rapidly enough that the previous local potential has not fully disappeared before the next one arrives. The voltage changes therefore overlap in time and add together.
What is spatial summation?,The membrane potential returns below resting level,One stimulus is repeated rapidly at one location,Inputs arriving from different sites combine,A signal jumps from node to node,3,,"Spatial summation means local potentials produced at different places on the membrane occur together. Their currents spread toward the same region, where the voltage changes add."
"In the local-potential diagram, what happens when stimulus strength increases?",The membrane becomes permanently depolarized,Every stimulus produces exactly the same voltage change,The potential always becomes an action potential,The graded change in membrane potential becomes larger,4,,"A local potential is graded: stronger stimulation produces a larger change in membrane potential. That is different from an action potential, whose amplitude does not scale continuously with stimulus strength once threshold is crossed."
What sequence defines a typical nerve action potential in the slides?,Depolarization followed by repolarization,Hyperpolarization followed by a permanent plateau,Repolarization followed by no return to rest,Only a slow negative shift without depolarization,1,,Depolarization is the upward phase in which the membrane becomes less negative and may become positive. Repolarization is the return toward the resting negative voltage. The sequence occurs because Na+ permeability rises first and K+ permeability rises later.
